SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,TenureMonths,MonthlyCharges,ChurnLabel
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1025.05,52,19.65,No
No,No,No,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,1167.8,24,49.7,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,389.25,18,19.55,No
No,Yes,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,855.3,10,85.25,Yes
Yes,No,No,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),4481,64,70.2,Yes
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,141.7,3,45.45,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),162.3,8,20.45,No
No,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,460.25,6,82.85,Yes
No,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,181.5,2,85.65,Yes
No,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,593.45,7,90.45,Yes
No,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),4111.35,63,68.8,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),137.6,7,20.0,Yes
Yes,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3436.1,36,96.5,Yes
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,417.7,21,20.0,No
No,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check, ,0,73.35,No
No,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),2907.35,43,66.25,No
No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,682.15,33,20.15,No
No,Yes,No,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),3173.35,43,71.9,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,817.95,43,20.0,No
No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1763.55,69,26.3,No
No,Yes,No,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),3876.2,50,75.7,No
No,Yes,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),1448.8,37,40.2,Yes
No,Yes,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),5950.2,70,86.45,No
No,No,No,Yes,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),1242.25,24,54.6,No
No,No,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,288.35,6,50.05,No
No,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4186.3,42,94.2,Yes
No,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,2538.05,30,86.45,No
No,No,No,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,1270.2,15,86.2,Yes
Yes,Yes,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,533.05,7,75.4,No
No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),5822.3,64,93.4,No
No,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,7674.55,70,109.5,Yes
No,Yes,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,1,69.8,Yes
No,Yes,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6605.55,64,104.05,No
No,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.95,1,49.95,Yes
No,No,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),7279.35,68,110.25,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,255.5,12,20.5,No
No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),1856.4,70,26.05,No
No,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6239.05,71,90.55,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,47.7,2,19.95,No
No,No,No,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),1370.35,20,68.9,No
No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2139.2,40,55.25,Yes
No,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),3110.1,35,85.95,Yes
No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,535.35,28,20.25,No
No,No,No,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.85,1,59.85,Yes
Yes,No,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),6471.85,66,102.4,No
Yes,No,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1294.6,18,74.7,No
No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1567,72,19.75,No
No,Yes,No,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),3126.85,40,78.85,No
Yes,No,No,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),1470.05,17,82.65,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),856.5,46,19.75,No
No,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),5121.75,54,94.75,No
No,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),6510.45,72,89.8,No
No,Yes,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,220.45,5,44.8,No
No,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,1647,31,54.35,No
Yes,No,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,3856.75,43,89.55,Yes
No,Yes,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),5986.45,70,88.0,No
No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.15,1,44.15,Yes
No,Yes,No,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,5084.65,59,85.55,Yes
Yes,Yes,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,3861.45,45,86.1,No
No,No,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6876.05,61,111.6,Yes
No,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,350.35,7,50.7,No
No,No,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,5552.05,55,100.9,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.5,1,20.5,Yes
Yes,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,3744.05,37,101.1,Yes
No,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,829.1,9,95.5,Yes
No,No,No,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),469.25,8,58.2,No
No,No,No,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,2184.6,26,85.2,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.15,1,20.15,Yes
No,No,No,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,1889.5,34,56.95,No
No,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,5960.5,64,91.8,No
No,No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic), ,0,61.9,No
No,Yes,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,330.15,5,69.95,Yes
No,Yes,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,3778.85,61,62.15,No
No,Yes,No,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,1308.4,15,84.3,Yes
No,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,563.65,8,71.15,Yes
No,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),4563,47,95.2,No
No,Yes,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),3632,66,54.65,No
No,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,930.05,13,72.8,No
No,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),4428.45,66,66.1,No
No,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),467.15,22,20.3,No
No,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,2204.35,27,80.85,No
No,No,No,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,2806.9,31,89.9,Yes
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,936.85,46,20.1,No
Yes,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,5060.85,67,75.7,No
No,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,5985.75,60,99.8,No
No,Yes,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),3166.9,58,55.5,No
Yes,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),8317.95,72,114.85,No
No,Yes,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),168.6,3,58.7,No
No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1346.2,69,19.4,No
